AGE,SEXE,BEN_REG,DNB,REM,BSE
60,2,93,37,386.97,558.55
60,2,93,9609,136058.49,145885.7
60,2,93,90,1054.98,1370.4
60,2,93,69,1020.73,1053.5
60,2,93,22,287.95,336.65
60,2,93,16,221.13,249.75
60,2,93,63,752.04,967.6
60,2,93,109,1482.56,1681.75
60,2,93,4170,60776.24,63347.85
60,2,93,399,4604.56,6088.15
60,2,93,3337,37071.02,50657.8
60,2,93,450,6587.9,6836.9
60,2,93,12,130.95,187.65
60,2,93,472,5709.57,7173.45
60,2,93,213,2844.58,3263.85
60,2,93,43,577.22,666.05
60,2,93,10747,132875.63,163080
60,2,84,40,440.77,612.05
60,2,84,10607,150877.56,161051.5
60,2,84,17,199.41,256.75
60,2,84,37,522.43,572.65
60,2,84,18,184.96,269.4
60,2,84,30,313.21,462.45
60,2,84,34,453.87,521.1
60,2,84,2899,42767.99,44039.3
60,2,84,159,1880.9,2425.25
60,2,84,2584,27737.64,39283.15
60,2,84,837,12198.38,12689.65
60,2,84,230,2942.92,3507.65
60,2,84,70,908.42,1073.15
60,2,84,45,607.49,686.8
60,2,84,5049,60637.48,76711.25
60,2,76,43,549.36,640.55
60,2,76,5242,74765.91,79717.1
60,2,76,31,379.47,469.95
60,2,76,26,377.96,402.8
60,2,76,38,479.25,585.9
60,2,76,64,682.99,970.3
60,2,76,201,2682.67,3047.1
60,2,76,1771,26042.75,26871.1
60,2,76,425,4857.88,6503.45
60,2,76,1170,11903.16,17770.4
60,2,76,1645,24326.09,24952
60,2,76,286,3745.73,4362.4
60,2,76,48,655.35,723.25
60,2,76,21,290.77,317.5
60,2,76,5451,66090.18,82879.9
60,2,75,35,391.77,526.9
60,2,75,7780,111236.01,118083.8
60,2,75,17,260.28,263.25
60,2,75,22,229.53,332.6
60,2,75,95,1173.06,1449.45
60,2,75,2147,31659.51,32508.55
60,2,75,238,3131.34,3633.4
60,2,75,1401,14054.37,21332.15
60,2,75,1478,21871.08,22462.2
60,2,75,257,3068.95,3887
60,2,75,61,825.66,935.55
60,2,75,15,211.93,233.8
60,2,75,5658,67007.4,85892.8
60,2,53,32,359.92,488.1
60,2,53,3429,48173.56,52057.15
60,2,53,11,139.59,171.45
60,2,53,1315,19526.6,19996.4
60,2,53,109,1222.72,1659.2
60,2,53,572,5851.55,8665.6
60,2,53,388,5541.14,5881.1
60,2,53,127,1543.41,1942.3
60,2,53,1588,19575.71,24113.25
60,2,52,43,519.76,662.25
60,2,52,4804,68977.24,72851
60,2,52,1444,21531.15,21895.95
60,2,52,77,887.16,1166.3
60,2,52,884,8743.63,13406.7
60,2,52,423,6265.28,6437.2
60,2,52,140,1709.63,2112.7
60,2,52,17,233.26,260.8
60,2,52,1641,19018.23,24923.25
60,2,44,47,606.58,702.9
60,2,44,9454,134512.05,143454.3
60,2,44,57,906.25,911.75
60,2,44,13,163.48,200.3
60,2,44,15,144.48,230
60,2,44,22,287.16,328.3
60,2,44,6360,93956.11,96648.35
60,2,44,349,3935.52,5334.35
60,2,44,2100,21999.3,31795.25
60,2,44,985,14362.78,14924.8
60,2,44,196,2423.31,2984.3
60,2,44,65,856.94,990.3
60,2,44,37,422.93,562.35
60,2,44,5299,65928.93,80447
60,2,32,53,641.77,817.5
60,2,32,6606,91899.37,100187.1
60,2,32,12,148.18,181.15
60,2,32,46,636.41,689.75
60,2,32,75,910.82,1150.95
60,2,32,1706,25137.65,26032.65
60,2,32,217,2563.13,3313.45
60,2,32,1480,15232.09,22414.8
60,2,32,2596,37877.02,39336.15
60,2,32,159,1946.78,2422.95
60,2,32,156,2139.49,2397.3
60,2,32,40,537.89,614.9
60,2,32,6793,82731.04,103129.1
60,2,28,40,511.53,602.35
60,2,28,3145,43965.19,47770.9
60,2,28,38,430.02,578.55
60,2,28,22,265.96,331.5
60,2,28,20,240.03,306.45
60,2,28,865,12562.19,13139.75
60,2,28,103,1179.85,1566.65
60,2,28,1175,12009.72,17788.35
60,2,28,1045,15433.49,15837.5
60,2,28,122,1508.94,1854.6
60,2,28,41,534.15,628.75
60,2,28,20,284.85,309.15
60,2,28,2383,27831.69,36211.3
60,2,27,44,560.55,666.05
60,2,27,5040,71607.28,76549.25
60,2,27,14,159.85,211.35
60,2,27,48,641.51,731.35
60,2,27,1276,18804.48,19352.3
60,2,27,60,762.08,916.55
60,2,27,699,6990.82,10602.6
60,2,27,935,13818.02,14208.3
60,2,27,93,1202.26,1420.35
60,2,27,17,227.05,260.8
60,2,27,3001,35365.16,45604.55
60,2,24,33,444.28,502.7
60,2,24,3565,50770.46,54076.15
60,2,24,19,203.71,288.05
60,2,24,24,241.11,367.2
60,2,24,15,158.22,232.2
60,2,24,31,386.21,471.9
60,2,24,892,13102.65,13502.75
60,2,24,73,878.18,1109.6
60,2,24,658,6756.04,9986.6
60,2,24,644,9352.46,9804.3
60,2,24,70,911.56,1058.05
60,2,24,25,340.06,379.85
60,2,24,1907,23126.24,29015.75
60,2,11,95,1123.04,1437.55
60,2,11,17568,248280.62,266785.1
60,2,11,110,1264.69,1680.35
60,2,11,102,1481,1574.25
60,2,11,47,588.93,716.5
60,2,11,29,347.33,434.1
60,2,11,18,213.03,274.05
60,2,11,134,1547.73,2021.9
60,2,11,74,948.35,1125.7
60,2,11,19,211.05,281.55
60,2,11,22,236.4,333.7
60,2,11,3527,50579.2,53520.75
60,2,11,292,3418.02,4431.55
60,2,11,5278,55901.59,80158.6
60,2,11,2774,40655.05,42216.05
60,2,11,17,215.62,256.15
60,2,11,522,6547.76,7940.9
60,2,11,396,5226.55,6060.05
60,2,11,162,2222.9,2466
60,2,11,8744,106872.53,132837.7
60,2,5,107,1661.03,1818.1
60,2,5,789,11944.61,13597.05
60,2,5,132,2031.88,2303.8
60,2,5,11,165.67,203.95
60,2,5,43,527.1,761.95
60,2,5,339,3730.91,5980.35
60,2,5,260,4496.91,4676.4
60,2,5,52,688.92,908.2
60,2,5,11,150.96,188.25
60,2,5,12,194.04,220
60,2,5,2926,41650.69,51638.65
60,1,93,35,447.93,535.95
60,1,93,255,3483.85,3860.5
60,1,93,13,190.62,199.8
60,1,93,162,2303.56,2466.1
60,1,93,20,262.32,304
60,1,93,14,186.99,210.85
60,1,93,50,730.5,760.2
60,1,93,60,840.67,921.45
60,1,93,440,5633.42,6663.45
60,1,84,32,402.7,491.9
60,1,84,301,4251.95,4571.1
60,1,84,22,302.26,328.55
60,1,84,23,321.72,352.6
60,1,84,18,254.07,279.45
60,1,84,20,252.26,300.2
60,1,84,11,169.56,172.8
60,1,84,183,2193.22,2778.1
60,1,76,31,420.35,481.1
60,1,76,549,8056.27,8365.4
60,1,76,22,234.63,330.75
60,1,76,21,300.22,321.55
60,1,76,18,259.74,278.1
60,1,76,578,8499.53,8793.1
60,1,76,16,211.96,238.35
60,1,76,20,272.95,306.7
60,1,76,392,4981.14,5937.7
60,1,75,68,982.58,1024.8
60,1,75,245,3566.17,3706.6
60,1,75,71,1007.09,1076.45
60,1,75,13,170.37,201.15
60,1,75,32,423.64,486.75
60,1,75,457,5912.68,6949.7
60,1,53,28,357.88,424.4
60,1,53,35,474.6,536.7
60,1,53,65,796.5,994.95
60,1,52,23,311.85,352.35
60,1,52,94,1277.99,1407.35
60,1,52,84,1069.02,1279.65
60,1,44,20,255.96,307.8
60,1,44,628,8840.71,9557.95
60,1,44,1456,21871.69,22181.8
60,1,44,26,343.11,400.35
60,1,44,152,2296.11,2302.05
60,1,44,79,1028.02,1188.05
60,1,44,13,179.55,201.15
60,1,44,809,10510.47,12278.4
60,1,32,38,483.28,578.05
60,1,32,274,3826.7,4170
60,1,32,20,284.02,295.9
60,1,32,24,278.04,359.85
60,1,32,46,674.53,695.15
60,1,32,19,265.12,290.5
60,1,32,58,816.12,896.9
60,1,32,266,3242.46,4054.4
60,1,28,201,2921.8,3035.5
60,1,28,51,627.66,778.35
60,1,28,32,487.02,493.5
60,1,28,16,220.3,248.65
60,1,28,57,864.05,869.55
60,1,28,25,354.76,386.35
60,1,28,21,297.54,322.65
60,1,28,89,1097.79,1345.85
60,1,27,43,630.25,657.35
60,1,27,158,2317.95,2415.45
60,1,27,61,907.46,918.9
60,1,27,13,174.69,202.5
60,1,27,215,2678.97,3281.7
60,1,24,42,574.11,640.9
60,1,24,46,678.7,693.55
60,1,24,15,174.96,229.5
60,1,24,13,161.27,193.55
60,1,24,109,1374.59,1664.7
60,1,11,56,634.62,861.05
60,1,11,812,11611.01,12369.85
60,1,11,32,476.51,494.6
60,1,11,13,149.04,197.1
60,1,11,263,3807.4,4038.4
60,1,11,49,584.65,733.45
60,1,11,70,962.23,1063.95
60,1,11,71,876.74,1082
60,1,11,118,1627.6,1812.85
60,1,11,39,484.71,581.5
60,1,11,818,10265.56,12508.25
60,1,5,43,597.24,760.6
60,1,5,34,527.81,600.45
60,1,5,86,1302.71,1487.45
60,1,5,480,7184.39,8465.55
40,2,93,34,346.66,513.25
40,2,93,4081,54240.01,61960.05
40,2,93,89,1001.82,1356.9
40,2,93,21,298.89,317.25
40,2,93,17,204,266.2
40,2,93,21,208.98,318.6
40,2,93,26,346.83,405.25
40,2,93,1469,21098.69,22271.7
40,2,93,172,1913.22,2636.5
40,2,93,4127,41536.64,62716.45
40,2,93,109,1587.17,1698.95
40,2,93,360,3689.65,5503.45
40,2,93,52,604.59,792.1
40,2,93,24,300.79,366.6
40,2,93,4998,54385.04,75871.95
40,2,84,54,602.97,812.35
40,2,84,4192,55751.93,63516.75
40,2,84,19,199.14,290.5
40,2,84,646,9549.57,9833.4
40,2,84,63,701.92,954.6
40,2,84,3514,34167.39,53417.65
40,2,84,252,3710.19,3857
40,2,84,83,990.65,1259.7
40,2,84,16,183.68,244.85
40,2,84,15,182.52,232.2
40,2,84,2204,23913.42,33428.7
40,2,76,31,393.39,479.25
40,2,76,2019,26680.65,30701.75
40,2,76,22,244.77,333.7
40,2,76,13,172.26,199.8
40,2,76,13,143.4,197.6
40,2,76,68,907.2,1034.1
40,2,76,597,8733.78,9093.4
